"rendimientos","riesgo","probabilidad","intercepto","pendiente","color","titulo"
0.000544567241033691,0.0179765964131498,0.517395626242545,-151.563316142221,0.0117241751486258,"navy","A"
0.00118761140714825,0.0292498676533014,0.512425447316103,-256.567005467333,0.0176068079803209,"navy","AAL"
0.000449170354596113,0.0184195586748866,0.516898608349901,-543.349632505736,0.0403424045547082,"navy","AAP"
0.000850470256619392,0.0159556195794062,0.523856858846918,-134.513117465363,0.00973065633056631,"navy","AAPL"
0.000805203544591074,0.0162961793379187,0.534976152623211,-264.563395526643,0.0194546943264555,"navy","ABBV"
0.000615204660311564,0.0136753791134641,0.531312127236581,-362.54467982437,0.0265105750330609,"navy","ABC"
0.00152355296314599,0.0292699706024004,0.524850894632207,-768.744675336464,0.0510379466036536,"navy","ABMD"
0.000388269396560411,0.011384686259959,0.510437375745527,-121.735287970414,0.00981994461466079,"navy","ABT"
0.000641993568595002,0.0135262622604416,0.532306163021869,-446.677489304871,0.0328505939789598,"navy","ACN"
0.000771773906548956,0.0173692354263803,0.525347912524851,-605.1592904202,0.0417402435881944,"navy","ADBE"
0.000513719443241979,0.0156194718036887,0.517395626242545,-230.402071430793,0.017463430770061,"navy","ADI"
0.000120200212413909,0.0153216318361744,0.518389662027833,-67.1803445017493,0.0064944995598902,"navy","ADM"
0.000564964438531632,0.0109743461648036,0.534294234592445,-358.318946934313,0.0264979515459927,"navy","ADP"
0.000699312631540726,0.0213774443462564,0.524850894632207,-316.479107183027,0.0228786709344136,"navy","ADSK"
0.0003746380896026,0.0111677592555454,0.519880715705765,-140.408152397577,0.0111355241733794,"navy","AEE"
0.000370082036709125,0.0103728480037294,0.530318091451292,-175.321450639385,0.0140192990167677,"navy","AEP"
-0.000115747310995506,0.0173291315072873,0.498508946322068,13.294428336372,-8.20483613635113e-05,"red","AES"
0.000304488743057487,0.0154289994567143,0.524353876739563,-62.1678793160818,0.00568411811577938,"navy","AFL"
0.000342840973167795,0.0205508969908424,0.509940357852883,-166.292459463041,0.0132325035234211,"navy","AIG"
0.000599909800950876,0.0146109664769993,0.528330019880716,-350.983429335246,0.0255539936585784,"navy","AIZ"
0.000517712843839241,0.0106512604602483,0.530318091451292,-142.760442262434,0.0114344465532992,"navy","AJG"
0.000457250302748825,0.0248553694003114,0.515904572564612,-126.643581001729,0.0108632308971884,"navy","AKAM"
0.000601997381280069,0.0192258718207729,0.536282306163022,-228.764349654924,0.018324177270357,"navy","ALB"
0.00123546826471639,0.0243120804349706,0.519383697813121,-673.720000520732,0.0454794582668559,"navy","ALGN"
0.00105968637128504,0.0203678656397398,0.525347912524851,-449.975895479389,0.0306848349163049,"navy","ALK"
0.000614524410069538,0.0125137258208401,0.523359840954274,-309.749890535969,0.0225576263887806,"navy","ALL"
0.000478146802207,0.01310451202626,0.521235521235521,-334.5126697443,0.0236962876912651,"navy","ALLE"
0.000795636453930443,0.0221230000729562,0.511431411530815,-607.133012045415,0.0445700731396699,"navy","ALXN"
0.000633159171591254,0.0176318017401993,0.511928429423459,-141.419971429112,0.010045425913039,"navy","AMAT"
0.00030146836342654,0.0125552637546839,0.0911016949152542,-19.5306529177515,0.0017959672930722,"navy","AMCR"
2.88640032394028e-05,0.0353991488246839,0.484592445328032,-0.605066602336552,0.000397173818162353,"navy","AMD"
0.000716128534174361,0.014337937800339,0.533797216699801,-196.542510157526,0.0148445748467495,"navy","AME"
0.000548149421285767,0.0146544283905318,0.510437375745527,-704.676830171235,0.0508393716577878,"navy","AMGN"
0.000719085962096007,0.0182339431457518,0.517395626242545,-485.665585182872,0.0357102959066613,"navy","AMP"
0.000590801841595299,0.0129819278649052,0.521371769383698,-413.131630760902,0.0308466488395369,"navy","AMT"
0.00107714348957359,0.0195524296009131,0.523856858846918,-4361.79637947512,0.29705119684847,"navy","AMZN"
0.00161815059153265,0.027093027958346,0.548387096774194,-1438.07841537176,0.0908529672386281,"navy","ANET"
0.00059433789086479,0.0148153069398818,0.542743538767396,-337.145097664177,0.0257735035460444,"navy","ANSS"
0.000659033614626433,0.0156323586929712,0.518886679920477,-676.516155583063,0.0485747337383463,"navy","ANTM"
0.000627154006859568,0.0118816569103126,0.536282306163022,-484.583072645561,0.0349863403014138,"navy","AON"
0.00104833743996107,0.0161974252674609,0.539264413518887,-264.385287177362,0.018058192854979,"navy","AOS"
-0.000456917439655217,0.0214775253992486,0.489562624254473,470.519921779008,-0.0244770293918568,"red","APA"
0.00037647821628888,0.0131130094047418,0.514910536779324,-406.685138209644,0.0318588164607545,"navy","APD"
0.000666437638915581,0.0148046196712462,0.520874751491054,-145.502715199127,0.0104229919498196,"navy","APH"
0.00101235756694305,0.0167249769606551,0.542262678803641,-338.943506266074,0.023846194313453,"navy","APTV"
0.000357969995875884,0.0139006346229274,0.529821073558648,-204.266075759459,0.0178548437637295,"navy","ARE"
0.00053081480934546,0.0112098788605945,0.534294234592445,-289.55249975842,0.0211055810605226,"navy","ATO"
0.000856559895275606,0.0176414601230567,0.521868787276342,-235.365941344956,0.0161252663410049,"navy","ATVI"
0.000391237119575078,0.0133382141459816,0.530815109343936,-367.65468082542,0.0318607858928493,"navy","AVB"
0.00129803357382349,0.0214998968922915,0.533797216699801,-1170.82201741668,0.0783752800711757,"navy","AVGO"
0.000565038985974723,0.0159455120189761,0.532803180914513,-293.030365427551,0.0214332381018925,"navy","AVY"
0.000693871671422511,0.0110413769029345,0.542246520874751,-310.61268087335,0.022279655667349,"navy","AWK"
