nombre,dia_nacimiento,estado,pais,profesion,fase_luna
AYRTON SENNA,21-MARZO,SAO PAULO,BRASIL,AUTOMOVILISTA,SEGUNDO MENGUANTE
BABE RUTH,6-FEBRERO,"BALTIMORE,MARYLAND",USA,BEISBOLISTA,SEGUNDO CRECIENTE
BÁRBARA BERMUDO,5-JUNIO,GUAYNABO,PUERTO RICO,PERIODISTA,SEGUNDO MENGUANTE
BARBRA STREISAND,24-ABRIL,"BROOKLYN, NY",USA,ACTRIZ,CUARTO CRECIENTE
BARRY MANILOW,17-JUNIO,"BROOKLYN, N.Y",USA,CANTANTE,PRIMER MENGUANTE
BARUCH SPINOZA,24-NOVIEMBRE,AMSTERDAM,HOLANDA,FILÓSOFO,SEGUNDO CRECIENTE
BENEDICTO XVI,16-ABRIL,BAVARIA,ALEMANIA,RELIGIOSO,LUNA LLENA
BENITO JUAREZ,21-MARZO,"SAN PABLO,OAXACA",MÉXICO,POLÍTICO,PRIMER CRECIENTE
BENITO MOUSSOLINI,29-JULIO,PREDAPPIO,ITALIA,DICTADOR,SEGUNDO MENGUANTE
BENITO PÉREZ GALDÓS,10-MAYO,LAS PALMAS,ESPAÑA,ESCRITOR,SEGUNDO CRECIENTE
BENJAMÍN FRANKLIN,17-ENERO,"BOSTON,MASS.",USA,CIENTÍFICO,PRIMER CRECIENTE
BERNADETTE DE LOURDES,7-ENERO,LOURDES,FRANCIA,RELIGIOSA,PRIMER MENGUANTE
BILL CLINTON,19-AGOSTO,"HOPE,ARK.",USA,POLÍTICO,CUARTO MENGUANTE
BILL GATES,30-OCTUBRE,SEATLE,USA,FINANCIERO,LUNA LLENA
BING CROSBY,3-MAYO,"TACOMA,WA",USA,CANTANTE,CUARTO CRECIENTE
BLAISE PASCAL,19-JUNIO,CLERMONT FERRAND,FRANCIA,CIENTÍFICO,PRIMER MENGUANTE
BO DEREK,20-NOVIEMBRE,"LONG BEACH,CA",USA,ACTRIZ,PRIMER MENGUANTE
BOB DYLAN,24-MAYO,"DULUTH,MINNESOTA",USA,CANTANTE,LUNA NUEVA
BOBBY FISCHER,9-MARZO,CHICAGO,USA,AJEDRECISTA,PRIMER CRECIENTE
BORIS PASTERNAK,10-FEBRERO,MOSCÚ,RUSIA,ESCRITOR,PRIMER MENGUANTE
BRIGITTE BARDOT,28-SEPTIEMBRE,PARÍS,FRANCIA,ACTRIZ,PRIMER MENGUANTE
BRITNEY SPEARS,2-DICIEMBRE,"KENTWOOD,LOUISIANA",USA,CANTANTE,CUARTO CRECIENTE
BRUCE WILLIS,19-MARZO,IDAR-OBERSTEIN,ALEMANIA,ACTOR,SEGUNDO MENGUANTE
BUDDY HOLLY,7-SEPTIEMBRE,"LUBBOCK,TEXAS",USA,MÚSICO,CUARTO MENGUANTE
CALVIN KLEIN,19-NOVIEMBRE,"NEW YORK,NY",USA,MODISTO,SEGUNDO CRECIENTE
CAMERUN DÍAZ,30-AGOSTO,LONG BEACH,USA,ACTRIZ,CUARTO MENGUANTE
CAMILO JOSÉ CELÁ,11-MAYO,"IRIA FLAVIA,CORUÑA",ESPAÑA,ESCRITOR,SEGUNDO CRECIENTE
CANTINFLAS,12-AGOSTO,DISTRITO FEDERAL,MÉXICO,COMEDIANTE,PRIMER MENGUANTE
CARL SANDBURG,6-ENERO,"GALESBURG,ILL",USA,ESCRITOR,PRIMER CRECIENTE
CARLOS GARDEL,10-DICIEMBRE,TOULOUSE,FRANCIA,CANTANTE,LUNA NUEVA
CARLOS MARX,5-MAYO,TRIER,ALEMANIA,FILÓSOFO,LUNA NUEVA
CARLOS MENEN,2-JULIO,ANILLACO,ARGENTINA,POLÍTICO,CUARTO CRECIENTE
CARMEN KASS,14-SEPTIEMBRE,TALLINN,ESTONIA,MODELO,SEGUNDO CRECIENTE
CARY GRANT,18-ENERO,BRISTOL,INGLATERRA,ACTOR,PRIMER CRECIENTE
CATHERINE DENEUVE,22-OCTUBRE,PARÍS,FRANCIA,ACTRIZ,SEGUNDO MENGUANTE
CATHERINE ZETA JONES,25-SEPTIEMBRE,MUMBLES,GALES,ACTRIZ,LUNA LLENA
CELIA CRUZ,21-OCTUBRE,HABANA,CUBA,CANTANTE,PRIMER MENGUANTE
CELINE DION,30-MARZO,"CHARLEMAGNE,QUEBEC",CANADÁ,CANTANTE,PRIMER CRECIENTE
CESAR GAVIRIA,31-MARZO,PEREIRA,COLOMBIA,POLÍTICO,SEGUNDO CRECIENTE
CHABUCA GRANDA,3-SEPTIEMBRE,APURIMAC,PERÚ,MÚSICO,CUARTO MENGUANTE
CHACRINHA,20-ENERO,PERNAMBUCO,BRASIL,COMEDIANTE,LUNA LLENA
CHARLES ATLAS,30-OCTUBRE,"ACRI,CALABRIA",ITALIA,ATLETA,PRIMER MENGUANTE
CHARLES BAUDELAIRE,9-ABRIL,PARÍS,FRANCIA,ESCRITOR,CUARTO CRECIENTE
CHARLES DARWIN,12-FEBRERO,SHREWSBURY,INGLATERRA,CIENTÍFICO,SEGUNDO MENGUANTE
CHARLES DE GAULLE,22-NOVIEMBRE,LILLE,FRANCIA,POLÍTICO,SEGUNDO CRECIENTE
CHARLES DICKENS,7-FEBRERO,PORTSEA,INGLATERRA,ESCRITOR,SEGUNDO MENGUANTE
CHARLES FOURIER,7-ABRIL,BESANCON,FRANCIA,FILÓSOFO,PRIMER CRECIENTE
CHARLES LINDBERGH,4-FEBRERO,"DETROIT,MICH.",USA,AVIADOR,SEGUNDO MENGUANTE
CHARLIE CHAPLIN,16-ABRIL,LONDRES,INGLATERRA,COMEDIANTE,LUNA LLENA
CHIANG KAI -SHEK,31-OCTUBRE,ZHEJIANG,CHINA,POLÍTICO,LUNA LLENA
CHISTIAAN BARNARD,2-SEPTIEMBRE,BEAUFORT WEST,ÁFRICA DEL SUR,MÉDICO,SEGUNDO CRECIENTE
CHRISTIAAN HUYGENS,14-ABRIL,DEN HAAG,ALEMANIA,CIENTÍFICO,CUARTO MENGUANTE
CHRISTIAN DOPPLER,29-NOVIEMBRE,SALZBURG,AUSTRIA,MATEMÁTICO,LUNA LLENA
CHRISTINA AGUILERA,18-DICIEMBRE,"STATEN ISLAND, N.Y.",USA,CANTANTE,SEGUNDO CRECIENTE
CHRISTOPHER REEVE,25-SEPTIEMBRE,"NEW YORK, NY",USA,ACTOR,CUARTO CRECIENTE
CLARA BARTON,25-DICIEMBRE,"NORTH OXFORD,MASS",USA,HUMANISTA,LUNA NUEVA
CLARK GABLE,1-FEBRERO,"CADIZ,OHIO",USA,ACTOR,SEGUNDO CRECIENTE
CLAUDE MONET,14-NOVIEMBRE,PARÍS,FRANCIA,PINTOR,PRIMER MENGUANTE
CLAUDIA SCHIFFER,24-AGOSTO,DUSSELDORF,ALEMANIA,MODELO,PRIMER CRECIENTE
CLINT EASTWOOD,31-MAYO,"SAN FRANCISCO,CA",USA,ACTOR,PRIMER CRECIENTE
CLIVE S. LEWIS,29-NOVIEMBRE,BELFAST,IRLANDA,ESCRITOR,LUNA LLENA
COCO CHANEL,19-AGOSTO,SAUMUR,FRANCIA,MODISTA,LUNA LLENA
CONDOLEEZZA RICE,14-NOVIEMBRE,"BIRMINGHAM,AL",USA,POLÍTICA,PRIMER MENGUANTE
CORAZÓN AQUINO,25-ENERO,MANILA,FILIPINAS,POLÍTICA,LUNA NUEVA
CRISTINA SARALEGUI,29-ENERO,HABANA,CUBA,PERIODISTA,PRIMER MENGUANTE
DALAI LAMA,5-JULIO,TAKTSER,TIBET,RELIGIOSO,PRIMER CRECIENTE
DALE EARNHARDT,29-ABRIL,"KANNAPOLIS,NC",USA,AUTOMOVILISTA,CUARTO MENGUANTE
DAN BROWN,22-JUNIO,"EXETER,NEW HAMPSHIRE",USA,ESCRITOR,SEGUNDO CRECIENTE
DAVID BECKHAM,2-MAYO,LEYTONSTONE,INGLATERRA,FUTBOLISTA,CUARTO MENGUANTE
DAVID HUME,7-MAYO,EDINBURGH,ESCOCIA,FILÓSOFO,PRIMER MENGUANTE
DAVID LIVINGSTONE,19-MARZO,BLANTYRE,ESCOCIA,MISIONERO,LUNA LLENA
DAVID NIVEN,1-MARZO,KIRRIEMUIR,ESCOCIA,ACTOR,SEGUNDO CRECIENTE
DEAN MARTIN,7-JUNIO,"STEUBENVILLE,OHIO",USA,ACTOR,LUNA LLENA
DEMI MOORE,11-NOVIEMBRE,ROSWELL N.M,USA,ACTRIZ,LUNA LLENA
DENIS DIDEROT,5-OCTUBRE,LANGRES,FRANCIA,FILÓSOFO,LUNA LLENA
DENISE LEVERTOV,24-OCTUBRE,ILFORD,INGLATERRA,ESCRITORA,LUNA LLENA
DIANE KEATON,5-ENERO,"LOS ANGELES,CA",USA,ACTRIZ,PRIMER CRECIENTE
DIDO ARMSTRONG,25-DICIEMBRE,LONDRES,INGLATERRA,CANTANTE,CUARTO CRECIENTE
DIEGO MARADONA,30-OCTUBRE,BUENOS AIRES,ARGENTINA,FUTBOLISTA,SEGUNDO CRECIENTE
DIEGO RIVERA,8-DICIEMBRE,GUANAJATO,MÉXICO,PINTOR,SEGUNDO CRECIENTE
DIETRICH BONHOEFFER,4-FEBRERO,BRESLAU,ALEMANIA,TEÓLOGO,SEGUNDO CRECIENTE
DJALMA DE ANDRADE,16-JULIO,RÍO DE JANEIRO,BRASIL,MÚSICO,PRIMER CRECIENTE
DON FRANCISCO,28-DICIEMBRE,TALCA,CHILE,COMEDIANTE,LUNA NUEVA
DONALD RUMSFELD,9-JULIO,"CHICAGO,ILLINOIS",USA,MILITAR,CUARTO CRECIENTE
