nombre,dia_nacimiento,estado,pais,profesion,fase_luna
HORACIO NELSON,29-SEPTIEMBRE,NORFOLK,INGLATERRA,MILITAR,SEGUNDO MENGUANTE
HUGO CHÁVEZ,28-JULIO,SABANETAS,VENEZUELA,POLÍTICO,LUNA NUEVA
IAN FLEMING,28-MAYO,LONDRES,INGLATERRA,ESCRITOR,LUNA NUEVA
IMELDA MARCOS,2-JULIO,MANILA,FILIPINAS,POLÍTICA,SEGUNDO MENGUANTE
INDIRA GANDHI,19-NOVIEMBRE,ALLAHABAD,INDIA,POLÍTICA,PRIMER CRECIENTE
INGRID BERGMAN,29-AGOSTO,ESTOCOLMO,SUECIA,ACTRIZ,PRIMER MENGUANTE
IRVING WALLACE,19-MARZO,CHICAGO,USA,ESCRITOR,LUNA LLENA
IRVING WHASHINGTON,3-ABRIL,NEW YORK,USA,ESCRITOR,LUNA NUEVA
ISAAC ASIMOV,2-ENERO,PETROVICHI,RUSIA,ESCRITOR,SEGUNDO CRECIENTE
ISAAC B. SINGER,14-JULIO,RADZYMIN,POLONIA,ESCRITOR,PRIMER CRECIENTE
ISAAC M SINGER,26-OCTUBRE,NEW YORK,USA,CIENTÍFICO,PRIMER CRECIENTE
ISAAC NEWTON,25-DICIEMBRE,WOOLSTHORPE,INGLATERRA,CIENTÍFICO,PRIMER CRECIENTE
ISABEL ALLENDE,2-AGOSTO,LIMA,PERÚ,ESCRITORA,CUARTO MENGUANTE
IVAN PAVLOV,14-SEPTIEMBRE,RYASAN,RUSIA,CIENTÍFICO,SEGUNDO MENGUANTE
J. ROBERT OPPENHEIMER,22-ABRIL,"NEW YORK, NY",USA,CIENTÍFICO,CUARTO CRECIENTE
J.K ROWLING,31-JULIO,CHIPPING SODBURY,INGLATERRA,ESCRITORA,PRIMER CRECIENTE
JACINTO BENAVENTE,12-AGOSTO,MADRID,ESPAÑA,ESCRITOR,LUNA NUEVA
JACK KEROUAC,12-MARZO,"LOWELL,MASS.",USA,ESCRITOR,LUNA LLENA
JACK LEMMON,8-FEBRERO,"NEWTON, MA",USA,ACTOR,LUNA LLENA
JACK LONDON,12-ENERO,"SAN FRANCISCO,CA",USA,ESCRITOR,LUNA LLENA
JACK NICHOLSON,22-ABRIL,"NEPTUNE, NJ",USA,ACTOR,SEGUNDO CRECIENTE
JACQUELINE KENNEDY,29-JULIO,"SOUTHHAMPTON,NY",USA,USA PRIMERA DAMA,CUARTO MENGUANTE
JACQUES CHIRAC,29-NOVIEMBRE,PARÍS,FRANCIA,POLÍTICO,PRIMER CRECIENTE
JACQUES COUSTEAU,10-JUNIO,SAINT ANDRE DE CUBZAC,FRANCIA,OCEANÓGRAFO,PRIMER CRECIENTE
JAMES LEBRON,30-DICIEMBRE,"AKRON,OHIO",USA,BASKETBOLISTA,CUARTO CRECIENTE
JAMES MAXWELL,13-JUNIO,EDINBURGH,ESCOCIA,CIENTÍFICO,PRIMER CRECIENTE
JANE AUSTEN,16-DICIEMBRE,HAMPSHIRE,INGLATERRA,ESCRITORA,CUARTO MENGUANTE
JANE FONDA,21-DICIEMBRE,NEW YORK,USA,ACTRIZ,PRIMER MENGUANTE
JANE GOODALL,3-ABRIL,LONDRES,INGLATERRA,ECOLOGISTA,PRIMER MENGUANTE
JASON ALEXANDER,23-SEPTIEMBRE,"NEWARK,NEW JERSEY",USA,ACTOR,CUARTO MENGUANTE
JEAN BAPTISTE LAMARCK,1-AGOSTO,BASENTIN LE PETIT,FRANCIA,CIENTÍFICO,CUARTO MENGUANTE
JENNIFER ANISTON,11-FEBRERO,"SHERMAN OAKS,CA",USA,ACTRIZ,SEGUNDO MENGUANTE
JENNIFER CAPRIATI,29-MARZO,"NAW YORK,NY",USA,TENISTA,LUNA NUEVA
JENNIFER LÓPEZ,24-JULIO,NEW YORK,USA,ACTRIZ,CUARTO MENGUANTE
JEREMY BENTHAM,15-FEBRERO,LONDRES,INGLATERRA,FILÓSOFO,LUNA LLENA
JERRY SEINFELD,29-ABRIL,"BROOKLYN, N.Y.",USA,ACTOR,CUARTO CRECIENTE
JESSICA BIEL,3-MARZO,"ELY,MINNESOTA",USA,ACTRIZ,CUARTO CRECIENTE
JESSICA SIMPSON,10-JULIO,"DALLAS,TEXAS",USA,CANTANTE,LUNA NUEVA
JIANG ZEMIN,17-AGOSTO,YANGZHOU,CHINA,POLÍTICO,CUARTO CRECIENTE
JIMMY CARTER,1-OCTUBRE,"PLAINS, GEORGIA",USA,POLÍTICO,PRIMER CRECIENTE
JOAN MANUEL SERRAT,27-DICIEMBRE,BARCELONA,ESPAÑA,MÚSICO,LUNA NUEVA
JODIE FOSTER,19-NOVIEMBRE,"LOS ANGELES,CA",USA,ACTRIZ,CUARTO MENGUANTE
JOE DIMAGGIO,25-NOVIEMBRE,"MARTÍNEZ,CA",USA,BEISBOLISTA,CUARTO CRECIENTE
JOHAAN WOLFGANG GOETHE,28-AGOSTO,FRANKFURT,ALEMANIA,ESCRITOR,LUNA LLENA
JOHANNES KEPLER,27-DICIEMBRE,WURTTEMBERG,ALEMANIA,CIENTÍFICO,LUNA NUEVA
JOHN BELUSHI,24-ENERO,CHICAGO.ILLINOIS,USA,ACTOR,SEGUNDO MENGUANTE
JOHN D. ROCKEFELLER,8-JULIO,"RICHFORD,N.Y",USA,FINANCIERO,SEGUNDO MENGUANTE
JOHN GLENN,18-JULIO,"CAMBRIDGE,OHIO",USA,ASTRONAUTA,LUNA LLENA
JOHN HENRY NEWMAN,21-FEBRERO,LONDRES,INGLATERRA,RELIGIOSO,CUARTO CRECIENTE
JOHN KENNEDY,29-MAYO,"BOOKLINE ,MSS",USA,POLÍTICO,CUARTO CRECIENTE
JOHN LENNON,9-OCTUBRE,LIVERPOOL,INGLATERRA,MÚSICO,CUARTO CRECIENTE
JOHN LOCK,29-AGOSTO,WRINGTON,INGLATERRA,FILÓSOFO,SEGUNDO CRECIENTE
JOHN MACDONALD,9-ENERO,GLASGOW,ESCOCIA,POLÍTICO,LUNA NUEVA
JOHN STUART MILL,20-MAYO,LONDRES,INGLATERRA,FILÓSOFO,PRIMER CRECIENTE
JOHN TRAVOLTA,18-FEBRERO,"ENGLEWOOD,N.J",USA,ACTOR,LUNA LLENA
JOHN WAYNE,26-MAYO,WINTERSET,USA,ACTOR,LUNA LLENA
JOHNNY CASH,26-FEBRERO,"KINGSLAND,ARKANSAS",USA,MÚSICO,PRIMER MENGUANTE
JORGE AMADO,12-AGOSTO,"ITABUNA,BAHÍA",BRASIL,ESCRITOR,LUNA NUEVA
JORGE HEGEL,27-AGOSTO,STUTTGART,ALEMANIA,FILÓSOFO,PRIMER CRECIENTE
JORGE ISAACS,1-ABRIL,CALI,COLOMBIA,ESCRITOR,SEGUNDO MENGUANTE
JORGE LUÍS BORGES,24-AGOSTO,BUENOS AIRES,ARGENTINA,ESCRITOR,LUNA LLENA
JORGE NEGRETE,30-NOVIEMBRE,GUANAJATO,MEXICO,CANTANTE,SEGUNDO CRECIENTE
JOSÉ AGUSTÍN ARANGO,24-FEBRERO,PANAMÁ,PANAMÁ,POLÍTICO,PRIMER CRECIENTE
JOSÉ CECILIO DEL VALLE,22-NOVIEMBRE,CHOLUTECA,HONDURAS,POLÍTICO,SEGUNDO MENGUANTE
JOSÉ DE SAN MARTÍN,25-FEBRERO,YAPEYÚ,ARGENTINA,ESCRITOR,SEGUNDO MENGUANTE
JOSÉ ENRIQUE RODÓ,15-JULIO,MONTEVIDEO,URUGUAY,ESCRITOR,LUNA NUEVA
JOSE LUÍS LAGRANGE,25-ENERO,TURIN,ITALIA,CIENTÍFICO,SEGUNDO CRECIENTE
JOSÉ LUÍS PERALES,18-ENERO,"CASTEJÓN,CUENCA",ESPAÑA,MÚSICO,PRIMER CRECIENTE
JOSE LUÍS RODRÍGUEZ ZAPATERO,4-AGOSTO,VALLADOLID,ESPAÑA,POLÍTICO,SEGUNDO CRECIENTE
JOSÉ MARÍA AZNAR,25-FEBRERO,MADRID,ESPAÑA,POLÍTICO,SEGUNDO CRECIENTE
JOSÉ MARÍA MORELOS,30-SEPTIEMBRE,MORELIA,MÉXICO,POLÍTICO,LUNA LLENA
JOSÉ MARÍA VARGAS VILA,23-JULIO,BOGOTÁ,COLOMBIA,ESCRITOR,PRIMER CRECIENTE
JOSÉ MARTÍ,28-ENERO,HABANA,CUBA,ESCRITOR,PRIMER MENGUANTE
JOSÉ ORTEGA Y GASSET,9-MAYO,MADRID,ESPAÑA,FILÓSOFO,PRIMER CRECIENTE
JOSÉ RAUL CAPABLANCA,19-NOVIEMBRE,HABANA,CUBA,AJEDRECISTA,LUNA LLENA
JOSÉ SARAMAGO,16-NOVIEMBRE,AZINHAGA,PORTUGAL,ESCRITOR,LUNA NUEVA
JOSÉ ZORRILLA,21-FEBRERO,VALLADOLID,ESPAÑA,ESCRITOR,PRIMER CRECIENTE
JOSEPH PRIESTLEY,13-MARZO,YORKSHIRE,INGLATERRA,CIENTÍFICO,SEGUNDO MENGUANTE
JOSEPH PULITZER,10-ABRIL,MAKO,HUNGRÍA,PUBLICISTA,SEGUNDO MENGUANTE
JOSEPH SMITH,23-DICIEMBRE,"CHARON,VERMONT",USA,RELIGIOSO,PRIMER CRECIENTE
JOSTEIN GAARDER,8-AGOSTO,OSLO,NORUEGA,ESCRITOR,PRIMER MENGUANTE
JUAN BAUTISTA FOURIER,21-MARZO,AUXERRE,FRANCIA,CIENTÍFICO,PRIMER CRECIENTE
JUAN BOSCH,30-JUNIO,LA VEGA,REPÚBLICA DOMINICANA,ESCRITOR,SEGUNDO CRECIENTE
JUAN CALVIN,10-JULIO,NOYON,FRANCIA,TEÓLOGO,SEGUNDO CRECIENTE
JUAN CARLOS GAUSS,30-ABRIL,BRUNSWICK,ALEMANIA,CIENTÍFICO,CUARTO MENGUANTE
JUAN CARLOS ONETTI,1-JULIO,MONTEVIDEO,URUGUAY,ESCRITOR,LUNA LLENA
JUAN DOMINGO PERÓN,8-OCTUBRE,BUENOS AIRES,ARGENTINA,POLÍTICO,PRIMER MENGUANTE
JUAN J. ROUSSEAU,28-JUNIO,GINEBRA,SUIZA,FILÓSOFO,SEGUNDO MENGUANTE
JUAN LUÍS GUERRA,7-JUNIO,SANTO DOMINGO,REPÚBLICA DOMINICANA,MÚSICO,SEGUNDO CRECIENTE
JUAN PABLO II,18-MAYO,WADOWISE,POLONIA,SACERDOTE,PRIMER CRECIENTE
JUAN PAUL SARTRE,21-JUNIO,PARÍS,FRANCIA,FILÓSOFO,PRIMER MENGUANTE
JUAN RAMÓN JIMÉNEZ,24-DICIEMBRE,"MOGUER,HUELVA",ESPAÑA,ESCRITOR,PRIMER CRECIENTE
JUAN RULFO,16-MAYO,"APULCO,JALISCO",MÉXICO,ESCRITOR,CUARTO CRECIENTE
JUAN SEBASTIAN BACH,21-MARZO,THURINGIA,ALEMANIA,MÚSICO,LUNA LLENA
JUDIT POLGAR,23-JULIO,BUDAPEST,HUNGRÍA,AJEDRECISTA,LUNA NUEVA
JULIA LOUIS DREYFUS,13-ENERO,"NEW YORK,NY",USA,ACTRIZ,SEGUNDO MENGUANTE
JULIA ROBERT,28-OCTUBRE,"SMYMA, GEO.",USA,ACTRIZ,SEGUNDO MENGUANTE
JULIO IGLESIAS,23-SEPTIEMBRE,MADRID,ESPAÑA,CANTANTE,SEGUNDO MENGUANTE
JULIO VERNE,8-FEBRERO,NANTES,FRANCIA,ESCRITOR,CUARTO MENGUANTE
KATHARINE HEPBURN,12-MAYO,"HARTFORD,CONN.",USA,ACTRIZ,LUNA NUEVA
KATIE COURIC,7-ENERO,"ARLIGTON,VIRGINIA",USA,PERIODISTA,CUARTO CRECIENTE
KIRK DOUGLAS,9-DICIEMBRE,"ANSTERDAM,N.Y.",USA,ACTOR,LUNA LLENA
LAETITIA CASTA,11-MAYO,POUNT-AUDEMER,FRANCIA,MODELO,PRIMER CRECIENTE
LANCE ARMSTRONG,18-SEPTIEMBRE,"PLANO, TEXAS",USA,CICLISTA,LUNA NUEVA
LANGSTON HUGHES,1-FEBRERO,"JOPLIN,MISSOURI",USA,ESCRITOR,SEGUNDO MENGUANTE
LECH WALESA,29-SEPTIEMBRE,POPOWO,POLONIA,SINDICALISTA,LUNA NUEVA
LEE MARVIN,19-FEBRERO,"NEW YORK, NY",USA,ACTOR,LUNA LLENA
LEO DAN,22-MARZO,ATAMISQUI,ARGENTINA,MÚSICO,CUARTO CRECIENTE
LEO TOLSTOY,9-SEPTIEMBRE,YASNAYA POLIANA,RUSIA,ESCRITOR,LUNA NUEVA
LEON THEREMIN,15-AGOSTO,SAN PETERS BURGO,RUSIA,CIENTÍFICO,CUARTO CRECIENTE
LEON TROTSKY,26-OCTUBRE,YANOVKA,UCRANIA,POLÍTICO,SEGUNDO CRECIENTE
LEONARDO DA VINCI,15-ABRIL,VINCI,ITALIA,CIENTÍFICO,LUNA LLENA
LEONARDO DICAPRIO,11-NOVIEMBRE,"LOS ANGELES, CA",USA,ACTOR,SEGUNDO MENGUANTE
LEONARDO EULER,15-ABRIL,BASEL,SUIZA,CIENTÍFICO,SEGUNDO CRECIENTE
LEONARDO FAVIO,28-MAYO,MENDOZA,ARGENTINA,MÚSICO,LUNA NUEVA
"LEOPOLDO ALAS ""CLARÍN""",2-ABRIL,ZAMORA,ESPAÑA,ESCRITOR,CUARTO CRECIENTE
LEOPOLDO LUGONES,13-JUNIO,CORDOVA,ARGENTINA,ESCRITOR,LUNA NUEVA
LEWIS CAROLL,27-ENERO,DARESBURY,INGLATERRA,ESCRITOR,SEGUNDO MENGUANTE
LEWIS HENRY MORGAN,21-NOVIEMBRE,"AURORA, N.Y.",USA,CIENTÍFICO,CUARTO MENGUANTE
LIBERTAD LAMARQUE,24-NOVIEMBRE,ROSARIO,ARGENTINA,ACTRIZ,PRIMER CRECIENTE
LINUS PAULING,28-FEBRERO,"PORTLAND,OREGÓN",USA,CIENTÍFICO,SEGUNDO CRECIENTE
LIONEL RICHIE,20-JUNIO,"TUSKEGEE,ALABAMA",USA,MÚSICO,SEGUNDO MENGUANTE
LISA LOPES,27-MAYO,"PHILADELPHIA,PENN",USA,CANTANTE,PRIMER CRECIENTE
LIZA MINNELLI,12-MARZO,"LOS ANGELES,CA",USA,ACTRIZ,SEGUNDO CRECIENTE
LOPE DE VEGA,25-NOVIEMBRE,MADRID,ESPAÑA,ESCRITOR,PRIMER MENGUANTE
LORD BYRON,22-ENERO,LONDRES,INGLATERRA,ESCRITOR,LUNA LLENA
LOUIS ARMSTRONG,4-AGOSTO,"NEW ORLEANS,LU",USA,MÚSICO,PRIMER MENGUANTE
LOUISA MAT ALCOTT,29-NOVIEMBRE,"GERMANTOWN,PENN",USA,ESCRITORA,CUARTO CRECIENTE
LOUISE MADONNA,16-AGOSTO,"BAY CITY, MICHIGAN",USA,CANTANTE,PRIMER CRECIENTE
LUCHO GATICA,11-AGOSTO,RANCAGUA,CHILE,MÚSICO,SEGUNDO MENGUANTE
LUCIANO PAVAROTTI,12-OCTUBRE,MODENA,ITALIA,CANTANTE,LUNA LLENA
LUDWIG VAN BEETOVEN,16-DICIEMBRE,BONN,ALEMANIA,MÚSICO,LUNA NUEVA
LUÍS MIGUEL,19-ABRIL,SAN JORGE,PUERTO RICO,CANTANTE,SEGUNDO CRECIENTE
LUÍS PASTEUR,27-DICIIEMBRE,"DOLA,JUER",FRANCIA,CIENTÍFICO,PRIMER CRECIENTE
LYNDON JOHNSON,27-AGOSTO,"JOHNSON CITY,TX",USA,POLÍTICO,LUNA NUEVA
MADRE TERESA,27-AGOSTO,SKOPJE,MACEDONIA,RELIGIOSA,CUARTO MENGUANTE
MAHMOUD AHMADINEJAD,28-OCTUBRE,GARMSAR,IRAN,POLÍTICO,SEGUNDO MENGUANTE
MANUEL JOSÉ ARCE,1-ENERO,SAN SALVADOR,EL SALVADOR,POLÍTICO,SEGUNDO CRECIENTE
MAO ZEDONG,26-DICIEMBRE,XIANGTAN,CHINA,DICTADOR,LUNA LLENA
MARCO ANTONIO MUÑIZ,3-MARZO,"GUADALAJARA, JALISCO",MÉXICO,CANTANTE,CUARTO CRECIENTE
MARCO AURELIO SOTO,13-NOVIEMBRE,TEGUCIGALPA,HONDURAS,POLÍTICO,SEGUNDO MENGUANTE
MARGARET THATCHER,13-OCTUBRE,GRANTHAM,INGLATERRA,POLÍTICA,SEGUNDO MENGUANTE
MARÍA CURIE,7-NOVIEMBRE,MARSAW,POLONIA,CIENTÍFICA,SEGUNDO CRECIENTE
MARÍA FÉLIX,8-ABRIL,ALAMOS,MÉXICO,ACTRIZ,SEGUNDO CRECIENTE
MARÍA MONTESSORI,31-AGOSTO,ROMA,ITALIA,MÉDICA,PRIMER CRECIENTE
MARIAH CAREY,27-MARZO,"HUNTINGTON,NY",USA,CANTANTE,PRIMER MENGUANTE
MARIANO AZUELA,1-ENERO,JALISCO,MÉXICO,ESCRITOR,PRIMER CRECIENTE
MARIO BENEDETTI,14-SEPTIEMBRE,URUGUAY,PASO DE TOROS,ESCRITOR,PRIMER CRECIENTE
MARIO VARGAS LLOSA,28-MARZO,AREQUIPA,PERÚ,ESCRITOR,CUARTO CRECIENTE
MARK MCGWIRE,1-OCTUBE,"POMONA,CA",USA,BEISBOLISTA,CUARTO CRECIENTE
MARK TWAIN,30-NOVIEMBRE,FLORIDA MISSOURI,USA,ESCRITOR,SEGUNDO CRECIENTE
MARLON BRANDO,3-ABRIL,"OMAHA,NEBRASKA",USA,ACTOR,LUNA NUEVA
MARTÍN LUTERO,10-NOVIEMBRE,EISLEBEN,ALEMANIA,TEÓLOGO,LUNA NUEVA
MARTIN LUTHER KING,15-ENERO,"ATLANTA,GEORGIA",USA,CLÉRIGO,PRIMER CRECIENTE
MARTINA HINGIS,30-SEPTIEMBRE,KOSICE,SLOVAKIA,TENISTA,CUARTO MENGUANTE
MARYLYN  MONROE,1-JUNIO,"LOS ANGELES,CA",USA,ACTRIZ,CUARTO MENGUANTE
MAXIMILIANO ROBESPIERRE,6-MAYO,ARRAS,FRANCIA,POLÍTICO,LUNA NUEVA
MEG RYAN,19-NOVIEMBRE,"FAIRFIELD,CO",USA,ACTRIZ,SEGUNDO CRECIENTE
MEL GIGSON,3-ENERO,"PEEKSKILL, N.Y.",USA,ACTOR,CUARTO MENGUANTE
MELANIE GRIFFITH,5-AGOSTO,"NEW YORK,NY",USA,ACTRIZ,SEGUNDO CRECIENTE
MERYL STREEP,22-JUNIO,"SUNMIT, N.J.",USA,ACTRIZ,SEGUNDO MENGUANTE
MIA FARROW,9-FEBRERO,"LOS ANGELES,CA",USA,ACTRIZ,SEGUNDO MENGUANTE
MIA HAMM,17-MARZO,"SELMA, ALAB",USA,FUTBOLISTA,PRIMER CRECIENTE
MICHAEL  CAINE,14-MARZO,LONDRES,INGLATERRA,ACTOR,PRIMER MENGUANTE
MICHAEL DOUGLAS,25-SEPTIEMBRE,"NEW BRUNSWICK,N.J",USA,ACTOR,CUARTO CRECIENTE
MICHAEL JACKSON,29-AGOSTO,"GARY,INDIANA",USA,CANTANTE,LUNA LLENA
MICHAEL JORDAN,17-FEBRERO,"BROOKLYN,NY",USA,BASQUETBOLISTA,SEGUNDO MENGUANTE
MICHAEL KEATON,5-SEPTIEMBRE,"CARAOPOLIS,PENN",USA,ACTOR,PRIMER CRECIENTE
MICHAEL MOORE,23-ABRIL,"FLINT, MICHIGAN",USA,CINEASTA,PRIMER MENGUANTE
MICHAEL OWEN,14-DICIEMBRE,CHESTER,INGLATERRA,FUTBOLISTA,SEGUNDO MENGUANTE
MICHAEL RICHARDS,21-JULIO,"CULVER CITY,CA",USA,ACTOR,LUNA LLENA
MICHAEL SCHUMACHER,3-ENERO,HURTH,ALEMANIA,AUTOMOVILISTA,LUNA LLENA
MICHEL DE MONTAIGNE,28-FEBRERO,MONTAIGNE,FRANCIA,FILÓSOFO,CUARTO MENGUANTE
MICHELLLE BACHELET,29-SEPTIEMBRE,SANTIAGO,CHILE,POLÍTICA,LUNA NUEVA
MICK JAGGER,26-JULIO,"DARTFORT,KENT",INGLATERRA,CANTANTE,SEGUNDO MENGUANTE
MIGUEL ANGEL,6-MARZO,CAPRESE,ITALIA,PINTOR,PRIMER MENGUANTE
MIGUEL ANGEL ASTURIAS,18-OCTUBRE,C. GUATEMALA,GUATEMALA,ESCRITOR,SEGUNDO CRECIENTE
MIGUEL DE CERVANTES,29-SEPTIEMBRE,ALCALÁ DE HENARES,ESPAÑA,ESCRITOR,PRIMER CRECIENTE
MIGUEL DE UNAMUNO,29-SEPTIEMBRE,BILBAO,ESPAÑA,ESCRITOR,LUNA NUEVA
MIGUEL FARADAY,22-SEPTIEMBRE,NEWINGTON,INGLATERRA,CIENTÍFICO,SEGUNDO MENGUANTE
MIGUEL HIDALGO,8-MAYO,SAN VICENTE,MÉXICO,POLÍTICO,PRIMER CRECIENTE
MIJAIL BOTVINNIK,17-AGOSTO,SAN PETERBURGO,RUSIA,AJEDRECISTA,CUARTO MENGUANTE
MIJAIL TAHL,9-NOVIEMBRE,RIGA,LETONIA,AJEDRECISTA,SEGUNDO MENGUANTE
MIKE TYSON,30-JUNIO,"BROOKLYN,NY",USA,BOXEADOR,SEGUNDO CRECIENTE
MILES DAVIS,29-SEPTIEMBRE,"ALTOM,ILLINOIS",USA,MÚSICO,CUARTO MENGUANTE
MOHAMED ALI,17-ENERO,"LOUISVILLE,KE",USA,BOXEADOR,LUNA NUEVA
MOHANDAS GANDHI,2-OCTUBRE,PORBANDAR,INDIA,POLÍTICO,SEGUNDO MENGUANTE
MOISES MENDELSSOHN,6-SEPTIEMBRE,BERLIN,ALEMANIA,FILÓSOFO,SEGUNDO CRECIENTE
MOLIERE,15-ENERO,PARÍS,FRANCIA,ESCRITOR,PRIMER CRECIENTE
MÓNICA BELUCCI,30-SEPTIEMBRE,CITTA DI CASTELLO,ITALIA,ACTRIZ,CUARTO CRECIENTE
MÓNICA SELES,2-DICIEMBRE,NOVI SAD,YUGOESLAVIA,TENISTA,CUARTO CRECIENTE
NAOMI CAMPBELL,22-MAYO,LONDRES,INGLATERRA,MODELO,LUNA LLENA
NAPOLEON BONAPARTE,15-AGOSTO,"AJACCIO,CORCEGA",FRANCIA,MILITAR,SEGUNDO CRECIENTE
NATALIE WOODS,20-JULIO,"SAN FRANCISCO, CA",USA,ACTRIZ,SEGUNDO MENGUANTE
NEIL ARMSTRONG,5-AGOSTO,"WAPAKONETA,OHIO",USA,ASTRONAUTA,SEGUNDO CRECIENTE
NEIL GAIMAN,10-NOVIEMBRE,HAMPSHIRE,INGLATERRA,ESCRITOR,CUARTO MENGUANTE
NELSON MANDELA,18-JULIO,UMTATA,SUR AFRICA,POLÍTICO,SEGUNDO CRECIENTE
NELSON PIQUET,17-AGOSTO,RIO DE JANEIRO,BRASIL,AUTOMOVILISTA,SEGUNDO MENGUANTE
NESTOR KIRCHNER,25-FEBRERO,RÍO GALLEGOS,ARGENTINA,POLÍTICO,CUARTO CRECIENTE
NICOLAS CAGE,7-ENERO,"LONG BEACH ,CA",USA,ACTOR,SEGUNDO MENGUANTE
NICOLÁS COPERNICO,19-FEBRERO,TORUM,POLONIA,CIENTÍFICO,SEGUNDO CRECIENTE
NICOLAS II,6-MAYO,PUSHKIN,RUSIA,REY,LUNA LLENA
NICOLÁS MALEBRANCHE,6-AGOSTO,PARÍS,FRANCIA,FILÓSOFO,SEGUNDO MENGUANTE
NICOLÁS MAQUIAVELO,3-MAYO,FLORENCIA,ITALIA,ESCRITOR,SEGUNDO CRECIENTE
NICOLÁS PAGANINI,27-OCTUBRE,GENOVA,ITALIA,MÚSICO,PRIMER MENGUANTE
NICOLÁS TESLA,9-JULIO,SMILJAN,CROACIA,CIENTÍFICO,CUARTO CRECIENTE
NICOLE KIDMAN,20-JUNIO,HONOLULU,"HAWAI,USA",ACTRIZ,SEGUNDO CRECIENTE
NIKITA KRUSHCHEV,17-ABRIL,KALINOKCA,RUSIA,POLÍTICO,SEGUNDO CRECIENTE
NOSTRADAMUS,14-DICIEMBRE,ST. REMY,FRANCIA,ASTRÓLOGO,LUNA LLENA
OCTAVIO PAZ,31-MARZO,CIUDAD MÉXICO,MÉXICO,ESCRITOR,PRIMER CRECIENTE
OLIVER STONE,15-SEPTIEMBRE,NEW YORK,USA,CINEASTA,PRIMER MENGUANTE
OMAR TORRIJOS H.,13-FEBRERO,SANTIAGO DE VERAGUAS,PANAMÁ,POLÍTICO,PRIMER CRECIENTE
OSCAR ARIAS,13-SEPTIEMBRE,HEREDIA,COSTA RICA,POLÍTICO,CUARTO MENGUANTE
OSCAR NIEMEYER,15-DICIEMBRE,RÍO DE JANEIRO,BRASIL,ARQUITECTO,SEGUNDO CRECIENTE
OSCAR WILDE,16-OCTUBRE,DUBLIN,IRLANDA,ESCRITOR,SEGUNDO MENGUANTE
PABLO NERUDA,12-JULIO,PARRAL,CHILE,ESCRITOR,LUNA NUEVA
PABLO PICASSO,25-OCTUBRE,MÁLAGA,ESPAÑA,PINTOR,PRIMER CRECIENTE
PALITO ORTEGA,8-MARZO,TUCUMÁN,ARGENTINA,CANTANTE,CUARTO MENGUANTE
PALOMA SAN BASILIO,22-NOVIEMBRE,MADRID,ESPAÑA,CANTANTE,SEGUNDO CRECIENTE
PAMELA ANDERSON,1-JULIO,LADYSMITH,CANADÁ,ACTRIZ,SEGUNDO MENGUANTE
PAOLO COELHO,24-AGOSTO,RÍO DE JANEIRO,BRASIL,ESCRITOR,CUARTO CRECIENTE
PARIS HILTON,17-FEBRERO,"NEW YORK, N.Y.",USA,ACTRIZ,SEGUNDO CRECIENTE
PATRICK O'BRIAN,12-DICIEMBRE,LONDRES,INGLATERRA,ESCRITOR,SEGUNDO MENGUANTE
PAUL ALLEN,23-ENERO,"MERCER ISLAND,WH",USA,FINANCISTA,CUARTO CRECIENTE
PAUL MCCARTNEY,18-JUNIO,LIVERPOOL,INGLATERRA,MÚSICO,PRIMER CRECIENTE
PAUL NEWMAN,26-ENERO,"CLEVELAND,OHIO",USA,ACTOR,PRIMER CRECIENTE
PAUL SIMON,13-OCTUBRE,"NEWARK,N JERSEY",USA,CANTANTE,CUARTO MENGUANTE
PAULA ABDUL,19-JUNIO,"SAN FERNANDO,CA",USA,CANTANTE,LUNA LLENA
PEDRO ALMODÓVAR,25-SEPTIEMBRE,CALZADA DE CALATRAVA,ESPAÑA,CINEASTA,SEGUNDO MENGUANTE
PEDRO INFANTE,17-DICIEMBRE,GUAMUCHIL,MÉXICO,CANTANTE,PRIMER CRECIENTE
PEDRO PABLO RUBENS,28-JUNIO,SIEGEN,ALEMANIA,PINTOR,LUNA NUEVA
PELÉ,23-OCTUBRE,TRES CARACOLES,BRASIL,FUTBOLISTA,CUARTO MENGUANTE
PENÉLOPE CRUZ,28-ABRIL,MADRID,ESPAÑA,ACTRIZ,CUARTO CRECIENTE
PETER FONDA,23-FEBRERO,"NEW YORK,NY",USA,ACTOR,PRIMER CRECIENTE
PETER SELLERS,8-SEPTIEMBRE,SOUTHSEA,INGLATERRA,ACTOR,CUARTO MENGUANTE
PIERRE CURIE,15-MAYO,PARÍS,FRANCIA,CIENTÍFICO,SEGUNDO CRECIENTE
PIERRE DE FERRANT,20-AGOSTO,BEAUMONT DE LAMAGNE,FRANCIA,CIENTÍFICO,PRIMER MENGUANTE
PIERRE LAPLACE,23-MARZO,BEAUMONT,FRANCIA,CIENTÍFICO,PRIMER CRECIENTE
PIERRE TRUDEAU,18-OCTUBRE,MONTREAL,CANADÁ,POLÍTICO,SEGUNDO MENGUANTE
PIERRE-AUGUSTE RENOIR,25-FEBRERO,LIMOGES,FRANCIA,PINTOR,PRIMER CRECIENTE
PÍO BAROJA,28-DICIEMBRE,SAN SEBASTIAN,ESPAÑA,ESCRITOR,LUNA NUEVA
